Date,OpeningOutstanding,FreshExposure,ExposureLiquidated,ClosingOutstanding,NetGrowth
2025-12-01,11255594.13,310002.65,309897.2,11255699.58,105.45000000001164
2025-12-02,11255692.95,286791.42,242084.0,11300400.37,44707.419999999984
2025-12-03,11300400.37,296432.15,269314.74,11327517.78,27117.410000000033
2025-12-04,11327517.78,251467.13,284559.56,11294425.35,-33092.42999999999
2025-12-08,11223532.18,329602.89,341012.74,11212122.34,-11409.849999999977
2025-12-09,11212122.33,242512.12,309321.94,11145312.51,-66809.82
2025-12-10,11143564.22,271745.87,212282.38,11203027.7,59463.48999999999
2025-12-11,11203027.7,202837.03,236426.67,11169438.07,-33589.640000000014
2025-12-12,11169437.99,253195.0,323059.83,11099573.16,-69864.83000000002
2025-12-15,11098507.86,259471.56,240085.3,11117894.12,19386.26000000001
2025-12-16,11117893.76,292214.15,198072.39,11212035.52,94141.76000000001
2025-12-17,11212035.05,273903.42,231698.69,11254239.78,42204.72999999998
2025-12-18,11254239.0,217476.26,266783.93,11204931.32,-49307.669999999984
2025-12-19,11204931.09,234623.87,324131.17,11115423.79,-89507.29999999999
2025-12-22,11115423.79,352836.19,380220.53,11088039.44,-27384.340000000026
2025-12-23,11088021.09,364619.49,308018.04,11144622.54,56601.45000000001
2025-12-24,11138938.09,410027.89,312890.51,11236075.46,97137.38
2025-12-26,11236025.27,361748.4,304323.04,11293450.63,57425.360000000044
2025-12-29,11293450.2,428893.21,315296.16,11407047.25,113597.05000000005
2025-12-30,11407047.25,317277.64,298753.21,11425571.68,18524.429999999993
2025-12-31,11425570.37,349659.49,385361.19,11389868.67,-35701.70000000001
2026-01-01,11389863.57,362744.16,298233.81,11454373.92,64510.34999999998
2026-01-02,11454373.37,421525.52,521305.16,11354593.73,-99779.63999999996
2026-01-05,11354593.6,487444.11,430435.37,11411602.34,57008.73999999999
2026-01-06,11411600.82,471194.49,383254.56,11499540.75,87939.93
2026-01-07,11499539.88,417666.75,372184.59,11545022.03,45482.159999999974
2026-01-08,11545022.03,452712.32,379395.54,11618338.81,73316.78000000003
2026-01-09,11618338.8,313517.31,337846.77,11594009.34,-24329.46000000002
2026-01-12,11594009.34,295106.83,389727.07,11499389.11,-94620.23999999999
2026-01-13,11499389.11,331441.15,280288.05,11550542.21,51153.100000000035
2026-01-14,11550541.76,354616.74,333561.69,11571596.81,21055.04999999999
2026-01-16,11568184.35,403476.36,370318.89,11601341.82,33157.46999999997
2026-01-19,11600822.86,389931.54,312094.44,11678659.97,77837.09999999998
2026-01-20,11678490.6,414769.09,397439.07,11695820.62,17330.02000000002
2026-01-21,11695820.56,385932.24,425475.33,11656277.46,-39543.090000000026
2026-01-22,11656277.18,373287.33,356918.9,11672645.61,16368.429999999993
2026-01-23,11664161.15,398953.5,379770.76,11683343.89,19182.73999999999
2026-01-27,11683342.79,366473.87,449177.27,11600639.39,-82703.40000000002
2026-01-28,11600639.35,464989.7,494542.94,11571086.11,-29553.23999999999
2026-01-30,11723657.22,564202.38,518929.73,11768929.86,45272.65000000002
2026-02-01,11768929.86,435426.6,414201.26,11790155.2,21225.339999999967
2026-02-02,11790155.17,264418.48,466802.2,11587771.45,-202383.72000000003
2026-02-03,11583114.47,535050.78,647026.05,11471139.2,-111975.27000000002
2026-02-04,11471138.25,510513.1,460499.57,11521151.79,50013.52999999997
2026-02-06,11567276.57,298041.88,335423.66,11529894.8,-37381.77999999997
2026-02-09,11526473.19,442050.47,488466.05,11480057.62,-46415.580000000016
2026-02-10,11480053.12,467367.89,442214.36,11505206.65,25153.530000000028
2026-02-11,11505206.54,426016.96,386696.91,11544526.59,39320.05000000005
2026-02-12,11544526.59,428470.56,350679.51,11622317.64,77791.04999999999
2026-02-13,11622312.73,390257.07,330501.24,11682068.57,59755.830000000016
2026-02-16,11682068.57,261858.99,328380.64,11615546.91,-66521.65000000002
2026-02-17,11615546.91,304655.68,326739.73,11593462.87,-22084.04999999999
2026-02-18,11593462.87,318283.23,337412.01,11574334.09,-19128.780000000028
2026-02-19,11574333.97,379588.81,289996.91,11663925.87,89591.90000000002
2026-02-20,11663925.73,231623.34,304165.22,11591383.84,-72541.87999999998
2026-02-23,11591264.44,303074.57,333269.15,11561069.86,-30194.580000000016
2026-02-24,11561069.28,339298.2,313813.19,11586554.28,25485.01000000001
2026-02-25,11586551.45,323918.63,395113.24,11515356.83,-71194.60999999999
2026-02-26,11515356.7,309377.41,340304.92,11484429.19,-30927.51000000001
2026-02-27,11474935.88,355866.96,277415.75,11553387.08,78451.21000000002
2026-03-02,11553386.2,343286.26,485014.47,11411657.99,-141728.20999999996
2026-03-04,11411508.18,333346.65,380741.45,11364113.38,-47394.79999999999
2026-03-05,11364113.38,279041.36,347415.98,11295738.77,-68374.62
2026-03-06,11295725.56,299633.58,301167.45,11294191.69,-1533.8699999999953
2026-03-09,11294191.66,272554.01,376705.92,11190039.75,-104151.90999999997
2026-03-10,11190039.62,270624.17,331527.02,11129136.76,-60902.850000000035
2026-03-11,11129096.12,357589.47,263815.58,11222870.01,93773.88999999996
2026-03-12,11222869.88,262954.62,282533.34,11203291.16,-19578.72000000003
2026-03-13,11203291.16,326424.82,329688.02,11200027.97,-3263.2000000000116
2026-03-16,11200027.68,204593.77,381487.74,11023133.71,-176893.97
2026-03-17,11023133.71,227993.67,271235.77,10979891.61,-43242.100000000006
2026-03-18,10979881.74,292693.67,314303.97,10958271.44,-21610.29999999999
2026-03-19,10958271.44,343801.31,213263.06,11088809.69,130538.25
2026-03-20,11088809.66,255859.87,294001.34,11050668.19,-38141.47000000003
2026-03-23,11050668.13,319459.33,466516.53,10903610.92,-147057.2
2026-03-24,10903594.92,254029.91,344621.19,10813003.64,-90591.28
2026-03-25,10813002.88,332024.79,392696.1,10752331.57,-60671.31
2026-03-27,10752331.57,352526.17,356075.41,10748782.33,-3549.2399999999907
2026-03-30,10748085.37,288320.51,444444.52,10591961.36,-156124.01
2026-04-01,10591948.35,306033.97,284495.4,10613486.92,21538.56999999995
2026-04-02,10613486.92,251244.98,277701.96,10587029.94,-26456.98000000001
2026-04-06,10586995.7,296654.29,327149.65,10556500.34,-30495.360000000044
2026-04-07,10556490.4,254970.26,262074.99,10549385.67,-7104.729999999981
2026-04-09,10515079.59,495010.65,390184.27,10619905.97,104826.38
2026-04-10,10619905.97,456010.14,523647.1,10552269.01,-67636.95999999996
2026-04-13,10552269.01,429509.0,379868.79,10601909.22,49640.21000000002
2026-04-15,10600789.76,600831.7,617174.23,10584447.24,-16342.530000000028
2026-04-16,10584250.35,657402.87,529394.31,10712258.91,128008.55999999994
2026-04-17,10708863.98,630469.79,626633.42,10712700.35,3836.3699999999953
2026-04-20,10712693.23,642765.25,482775.7,10872682.78,159989.55
2026-04-21,10872682.78,566954.68,511723.03,10927914.43,55231.65000000002
2026-04-22,10927914.43,697572.11,520104.99,11105381.54,177467.12
2026-04-23,11105378.89,639383.93,441642.96,11303119.85,197740.97000000003
2026-04-24,11303119.85,517812.08,377874.96,11443056.98,139937.12
2026-04-27,11442979.56,513123.25,532820.61,11423282.2,-19697.359999999986
2026-04-28,11423282.2,569535.84,489681.68,11503136.35,79854.15999999997
2026-04-29,11864118.73,608649.61,599403.55,11873364.79,9246.05999999994
2026-04-30,11510927.55,501951.42,396554.23,11616324.74,105397.19
2026-05-04,11616324.74,522128.86,492883.32,11645570.28,29245.53999999998
2026-05-05,11645579.52,495369.9,424012.88,11716936.54,71357.02000000002
2026-05-06,11716927.26,643644.73,691309.02,11669262.97,-47664.29000000004
2026-05-07,11669262.97,752335.14,602562.29,11819035.82,149772.84999999998
2026-05-08,11818945.51,737638.35,545221.9,12011361.95,192416.44999999995
2026-05-11,12011127.93,627129.88,458221.36,12180036.45,168908.52000000002
2026-05-12,12180036.31,582585.91,510117.44,12252504.79,72468.47000000003
2026-05-13,12252504.32,423402.1,466519.55,12209386.88,-43117.45000000001
2026-05-14,12209201.58,465542.13,498596.98,12176146.73,-33054.84999999998
2026-05-15,12176126.18,469995.72,431060.1,12215061.81,38935.619999999995
2026-05-18,12214684.8,352565.96,422256.04,12144994.72,-69690.07999999996
2026-05-19,12144990.11,425198.47,378293.07,12191895.51,46905.399999999965
2026-05-20,12191895.51,385243.78,348276.71,12228862.58,36967.07000000001
2026-05-21,12228862.58,470923.37,383394.68,12316391.27,87528.69
2026-05-22,12316391.27,439178.51,418719.87,12336849.91,20458.640000000014
2026-05-25,12336849.67,523044.08,576280.05,12283613.7,-53235.97000000003
2026-05-26,12283612.28,637860.56,502059.55,12419413.28,135801.01000000007
2026-05-27,12419413.28,605152.96,569264.55,12455301.69,35888.409999999916
2026-05-29,12455280.71,732582.4,554552.98,12633310.13,178029.42000000004
2026-06-01,12633307.77,540844.07,468869.14,12705282.71,71974.92999999993
2026-06-02,12705282.11,420365.7,438259.92,12687387.89,-17894.219999999972
2026-06-03,12687387.89,497716.04,395248.0,12789855.93,102468.03999999998
2026-06-04,12789855.93,507078.5,447102.02,12849832.41,59976.47999999998
